Id,sentence,Replacement
1,"(not sure if I should tag someone for this, a wild guess: @LysandreJik @patil-suraj )

Edit by Lysandre: @sgugger :)","(not sure if I should tag someone for this, a baseless supposition: @LysandreJik @patil-suraj )

Edit by Lysandre: @sgugger :)"
2,"(such as starting with `:` or `<`)

Thanks for the sanity check.","(such as starting with `:` or `<`)

Thanks for the basic test."
10,"@API92 ,
 In order to expedite the trouble-shooting process, could you please provide  code dependencies you are using as I was facing error to provide `input for the checkpoints`.Thanks!","@API92 ,
 In order to expedite the problem identification process, could you please provide  code dependencies you are using as I was encountering error to provide `input for the checkpoints`.Thanks!"
15,"@bpasero

Thanks for the explanation and hard debugging work.","@bpasero

Thanks for the explanation and hard work for finding and solving mistakes in the code."
16,"@Brain2000, it will be magic!","@Brain2000, it will be fascinating!"
17,"@bvaughn thank you so much, you're life saver","@bvaughn thank you so much, you've been a lot of help"
18,@bvaughn your patience is emmy-award winning.,@bvaughn your patience is exceptional.
21,@denosaurtrain let's hope there is some relief soon.,@denosaurtrain let's hope there is some solution soon.
23,"@FirefoxMetzger This is probably the worst instance in the steady parade of “TF apologists” over the past two years, of various individuals who do not understand the issue claiming it is not a problem.","@FirefoxMetzger This is probably the worst instance in the consistency of “TF apologists” over the past two years, of various individuals who do not understand the issue claiming it is not a problem."
26,@gaearon I finally tracked down my memory leak.,I finally found the cause my memory allocation issue.
32,@jaingaurav I did rebase but seems CI is unhappy.,I did reapply the changes but seems CI is unhappy.
33,"@jrieken well, it just seemed like the list would be huge and full of dupes.","well, it just seemed like the list would be huge and repetitive"
34,@julien-c You have a good memory!,You remembered!
41,"@mohantym Hi, I might can give u the model arch.","Hi, I might can give u the simplified description."
43,@patrickvonplaten sorry for the radio silence (was on vacation).,@patrickvonplaten sorry for not responding (was on vacation).
48,@trusktr No idea what you're trying to say with that last bit.,@trusktr Don't understand what you are trying to communicate in that last part.
50,"* as someone trying to solve a problem (resolving conflicts) that was blocking me from other work, i felt frustrated that there weren't clear steps i could take to use the new ui.","* as someone trying to solve a problem (resolving conflicts) that was preventing me from other work, i felt frustrated that there weren't obvious actions to perform in order to use the new ui."
51,"*`

Argh, tricked again by that funky syntax.","*`

Argh, tricked again by thatstrange syntax."
52,"```
--> not just a hope, dream comes True now :-)

Thank you again for the contribution.","```
--> not just a hope, expectations are fulfilled now :-)

Thank you again for the contribution."
53,"```suggestion
`git-lfs.github.com <https://git-lfs.github.com/>`__ is decent, but we'll work on a tutorial with some tips and tricks in the coming weeks!","```suggestion
`git-lfs.github.com <https://git-lfs.github.com/>`__ is decent, but we'll work on a tutorial with some advice in the coming weeks!"
55,"`GOOGLE_CUDA` has outlived its usefulness long ago, IMO.","`GOOGLE_CUDA` was used for a long time after it became useless, IMO."
56,"^-^

Hi @llv22, thank's a lot for your answer, it's a very rich explanation of your similar problem, and there are a lot of things to think about.","... its a very detailed explanation of your similar problem, and there are several details to think about."
60,"> that was a chat thread between us

My memory is like Swiss cheese sometimes 😅",My memory is forgetful sometimes
63,A big modal in the face is not great.,A big user interface covering everything is not great.
64,A link to that section then would be a nice segway.,A link to that section then would be a nice transition.
66,A one-item array seems like overkill to me.,A one-item array seems more than the requirements to me.
69,Actually it's a dumb mac issue.,Actually it's a small and annoying mac issue.
71,"Actually, sorry to flip-flop back on this.","Actually, sorry to go back and forth on this."
72,Adding my voice to the folks that find the new UI incredibly frustrating.,Adding my opinion to the folks that find the new UI incredibly frustrating.
74,"Ah ok, they come from the config service frozen I guess.","Ah ok, they come from the config service inactive I guess."
77,"Ah, this is good insight.","Ah, this is a good example."
79,All of the comments are written in a very terse way so far.,All of the comments have been written briefly so far.
82,Also is there anything special about 4 threads :-).,Also is there anything special about 4 conversations :-).
83,"also, silly question, what about throttling the update.","also, unsophi question, sticated, what about throttling the update."
87,And it has quite a few goodies in it.,And it has quite a few useful items in it.
89,And look like it is a root case!,And look like it is the point of origin!
